componentid,Stockwerk,Raum,Bemerkung,FI,Leiter,Gruppe,Sicherung,Relais,Dimmer,Ausgang,Eingang,Kabel Info,Typ,Info ,Beschr. ,Stockwerk,SPS Position im array
83,Obergeschoß,Lounge,Licht Wand (3 auslässe) Bodenfluter bei KZ-schwarz,,L2,O-LI06,S6,R44,,R2M6Sl0Pr10,,,,Licht,Wand (3 auslässe) Bodenfluter bei KZ-schwarz,,
84,Keller,Holzraum,K-DO09 (vorne) (Pumpwerk),,L1,K-INFRA01,S22,R20,,R0M4Sl0Pr3,,,DO,Dose,geschalten für Pumpwerk,KG,läuft druckgesteuert
85,Obergeschoß,Lounge,Licht LED Band Stufenlicht,,L2,O-LI06,S6,R45,,R2M6Sl0Pr09,,,,Licht,LED Band Stufenlicht,OG,164
86,Obergeschoß,Lounge,Dose bei Bad/KZ1,,L3,,S1,R65,,R2M2Sl0Pr02,,,,Dose,bei Bad/KZ1,OG,
87,Obergeschoß,Lounge,RESERVE zu dachfenster Nord über Nebenverteiler in KZ Nord durchgeschliffen in Lichtauslaß Lounge Deckenleuchte über Kbad violett (nicht verbunden in Zwischenverteiler),,L1,,S6,,,,,,,RESERVE,zu dachfenster Nord über Nebenverteiler in KZ Nord durchgeschliffen in Lichtauslaß Lounge Deckenleuchte über Kbad violett (nicht verbunden in Zwischenverteiler),OG,
88,Obergeschoß,Lounge,RESERVE zu dachfenster Nord über Nebenverteiler in zw.Wand KZ durchgeschliffen in Lichtauslaß Lounge Deckenleuchte über Kbad schwarz (nicht verbunden in Zwischenverteiler),,L1,,S6,,,,,,,RESERVE,zu dachfenster Nord über Nebenverteiler in zw.Wand KZ durchgeschliffen in Lichtauslaß Lounge Deckenleuchte über Kbad schwarz (nicht verbunden in Zwischenverteiler),OG,
89,Obergeschoß,Lounge,Dose Wäscheschacht,,L3,,S1,R67,,R2M2Sl0Pr0,,,,Dose,Wäscheschacht,OG,
90,Obergeschoß,Büro,Licht außen Balkon,,L1,O-LIA01,Saussen,RA4,,,,,,Licht,außen Balkon,OG,
91,Obergeschoß,Lounge,Licht Dimmbar Lounge Decke Hauptlicht einzel,,L2,O-LI06,S6,direkt 24V,D2.6 (schwarz),R3M7Sl0Pr15,,,,Licht Dimmbar,Lounge Decke Hauptlicht einzel,OG,167
92,Keller,Waschraum,3.04 Pumpensumpf vorne (mit schwimmer),,L1,K-INFRA01,S22,R21,,R0M4Sl0Pr4,,,DO,Dose,pumpe,KG,42
93,Obergeschoß,Lounge,Licht Dimmbar Decke Lounge bei KZ/Kbad (2 ausgänge),,L2,O-LI06,S6,direkt 24V,D2.5 (violett),R4M1Sl0Pr0,,,,Licht Dimmbar,Decke Lounge bei KZ/Kbad (2 ausgänge),OG,169
94,Erdgeschoss,Garderobe,E-DO12 (Terminal),,L1,K-INFRA01,S22,R22,,R0M4Sl0Pr5,,,DO,Terminal,,EG,
95,Keller,Waschraum,K05DO6 ,,L1,K-DO03,S23,R23,,R0M4Sl0Pr6,,,DO,Dose,,KG,
96,Obergeschoß,Lounge,Licht Dimmbar Zentrale Wand von oben,,L2,O-LI06,S6,direkt 24V,D2.4 (braun),R4M1Sl0Pr1,,,,Licht Dimmbar,Zentrale Wand von oben,OG,168
97,Keller,Waschraum,K05DO7,,L1,K-DO03,S23,R24,,R0M4Sl0Pr7,,,,,,KG,
98,Obergeschoß,Büro,Licht Dimmbar Decke - Büro (2 auslässe durchgeschliffen),,L2,O-LI06,S6,direkt 24V,D2.7,,,,,Licht Dimmbar,Decke - Büro (2 auslässe durchgeschliffen),OG,
99,Keller,Waschraum,Lüftung,,L1,,S23,R25,,R0M4Sl0Pr8,,,DO,Lüftung,Lüftung,EG,
100,Obergeschoß,Büro, ,,,,,,,,R2M6Sl0Pr05,,,,,OG,
101,Keller,Wellnessbereich,Lüftung Dusche,,L1,K-DO03,S23,R26,,R0M4Sl0Pr9,,,DO,Lüftung,Dusche,EG,
102,Obergeschoß,Büro,Fensterkontakt Fenster 1 Süd,,,,,,,,,,,Fensterkontakt,Fenster 1 Süd,OG,
103,Keller,Werkstatt 2,K-05DO4,,L1,K-DO06,S23,R27,,R0M4Sl0Pr10,,,DO,Dose,,KG,
104,Obergeschoß,Büro,Fensterkontakt Fenster 2 Süd,,,,,,,,,,,Fensterkontakt,Fenster 2 Süd,OG,
105,Keller,Werkstatt 2,K-05DO5,,L1,K-DO06,S23,R28,,R0M4Sl0Pr11,,,DO,Dose,,KG,
106,Obergeschoß,Büro,Fensterkontakt Fenster Nord,,,,,,,,,,,Fensterkontakt,Fenster Nord,OG,
107,Obergeschoß,Büro,Fensterkontakt Fenster,,,,,,,,,,,Fensterkontakt,Fenster,OG,
108,Erdgeschoss,Garderobe,E-DO09,,L1,E-DO01,S24,R29,,R0M4Sl0Pr12,,,DO,Dose,,EG,
109,Obergeschoß,Büro,Fensterkontakt Balkontüre,,,,,,,,R2M6Sl0Pr02,,,Fensterkontakt,Balkontüre,OG,
110,Keller,Heizraum,Licht,,L1,K-LI01,S20,R3,,R0M2Sl0Pr2,,,LS,Licht,,EG,
111,Obergeschoß,Büro,Dose 16A Holzwand,,L2,,,na,,na,,,,Dose 16A,Holzwand,OG,
112,Erdgeschoss,Garderobe,E-DO010 schrank hinten ??,,L1,E-DO01,S24,R30,,R0M4Sl0Pr13,,,DO,Dose,,EG,
113,Obergeschoß,Büro,Dose 16A Fenster,,L3,,,na,,na,,,,Dose 16A,Fenster,OG,
114,Obergeschoß,Büro,Dose 16A Balkon,,L1,,,na,,na,,,,Dose 16A,Balkon,OG,
115,Obergeschoß,Büro,Dose unter Fenster,,,,S3,,,,,,,Dose,unter Fenster,OG,
116,Obergeschoß,Lounge,Rauchmelder NOCH NICHT IN SPS! Checken ob M0 passt da 16er,,,,,,,,R3M0Sl0Pr8,"Kabel wird in Ankleide in Wand zu Büro gesteckt, nur Rauchmelder, kein Status auf Weiß/Rot",RM,Rauchmelder,NOCH NICHT IN SPS! Checken ob M0 passt da 16er,OG,
117,Obergeschoß,Büro,Blumengießanlage,,,,,,,,,,,Blumengießanlage,,OG,
118,Obergeschoß,Lounge,Temp oben bei Rauchmelder (weiß/grün es kabel noch nicht angeschlossen),,,,,,,,,,,Temp,oben bei Rauchmelder (weiß/grün es kabel noch nicht angeschlossen),OG,
119,Erdgeschoss,Garderobe,E-DO11 west,,L1,E-DO01,S24,R31,,R0M4Sl0Pr14,,,DO,Dose,,EG,
120,Obergeschoß,Lounge,Temp 7.03,,,,,,,,R2M0Sl0Pr0,,,Temp,7.03,OG,
121,Obergeschoß,Lounge,Rauchmelder Status NOCH NICHT IN SPS! Checken ob M0 passt da 16er,,,,,,,,R3M0Sl0Pr11,Kabel wird in Ankleide in Wand zu Büro gesteckt,RM Status,Rauchmelder Status,NOCH NICHT IN SPS! Checken ob M0 passt da 16er (Alarmmelder (default high),OG,
122,Obergeschoß,Büro,IR,,,,,,,,,,,IR,,OG,
123,Obergeschoß,Büro,Dose PC Terminal,,,Infra,Infra,R_inf1,,R3M5Sl0Pr7,,,,Dose,PC Terminal,OG,
124,Erdgeschoss,Garderobe,E-DO08 schrank vorne,,L1,E-DO01,S24,R32,,R0M4Sl0Pr15,,,DO,Dose,,EG,
125,Erdgeschoss,Gästezimmer,E-DO01,,L1,E-DO01,S24,R33,,R0M6Sl0Pr0,,,DO,Dose,,EG,
126,Obergeschoß,Büro,Dose Stellantriebe Heizung,,Infra,,,,,,,,,Dose,Stellantriebe Heizung,OG,
127,Keller,Heizraum,Kessel strom,,L2,K-HEIZ02,S10,R34,,R0M6Sl0Pr4,,,DO,Dose,Kessel strom,KG,
128,Obergeschoß,Büro,Taster Gang bei KZ Nord,,,,,,,,R2M3Sl0Pr05,,,Taster,Gang bei KZ Nord,OG,
129,Keller,Heizraum,Ventil Grauwasser,,L2,K-HEIZ02,S10,R35,,R0M6Sl0Pr5,,,PD,Dose,Ventil Grauwasser,KG,
130,Obergeschoß,Büro,Taster zu Bad,,,,,,,,R2M3Sl0Pr06,,,Taster,zu Bad,OG,
131,Keller,Heizraum,Dose für Staubsauganlage,,L2,K-INFRA02,S11,R36,,R0M6Sl0Pr6,,,DO,Dose,Staubsauganlage,KG,
132,Obergeschoß,Büro,Taster Gang zwischen KZ,,,,,,,,R2M3Sl0Pr09,,,Taster,Gang zwischen KZ,OG,
133,Erdgeschoss,Flur,Licht Decke 2/2,,L2,E-LI01,S8,R37.2,,noch keine SPS klemme!,,,LS,Licht,Decke 2/2,OG,noch keine
134,Keller,Waschraum,3.05 Pumpe ohne schwimmer,,L2,K-INFRA02,S11,R37,,R0M6Sl0Pr7,,,DO,Dose,pumpe,KG,43
135,Obergeschoß,Büro,Taster Terminal,,,,,,,,R2M3Sl0Pr13,,,Taster,Balkon,OG,
136,Keller,Werkstatt 2,Licht,,L2,K-LI02,S12,R38,,R0M6Sl0Pr8,,,LS,Licht,Decke,EG,
137,Keller,Wellnessbereich,Licht Dusche,,L2,K-LI02,S12,R39,D1,R0M6Sl0Pr9,,,LD,Licht,Dusche,EG,
138,Obergeschoß,Büro,Taster Balkon,,,,,,,,R2M5Sl0Pr03,,,Taster,Balkon,OG,
139,Keller,Holzraum,Licht Holzraum,,L1,,S20,R4,,,,,LI,Licht,Holzraum,KG,
140,Keller,Wohnzimmer,Dose Süd Mitte,,L1,K-LI01,S20,R4,,R0M2Sl0Pr3,,,DO,Dose,,EG,
141,Obergeschoß,Büro,Taster Balkon,,,,,,,,R2M5Sl0Pr04,,,Taster,Balkon,OG,
142,Keller,Wellnessbereich,Licht Hauptlicht,,L2,K-LI02,S12,R40,D2,R0M6Sl0Pr10,,,LD,Licht,Hauptlicht,EG,
143,Obergeschoß,Büro,Taster zu Schlafzimmer (weiss),,,,,,,,R2M5Sl0Pr06,,,Taster,zu Schlafzimmer (weiss),OG,
144,Keller,Wellnessbereich,Licht Werkbank,,L2,K-LI02,S12,R41,D3,R0M6Sl0Pr11,,,LD,Licht,Werkbank,EG,
145,Keller,Wellnessbereich,Licht Sauna,,L2,K-LI02,S12,R42,D4,R0M6Sl0Pr12,,,LD,Licht,Sauna,EG,
146,Keller,Wellnessbereich,Licht Wand braun,,L3,K-LI03,S12,R43,D5,R0M6Sl0Pr13,,,LD,Licht,Wand braun,EG,
147,Obergeschoß,Büro,Taster zu Schlafzimmer (rot),,,,,,,,R2M5Sl0Pr07,,,Taster,zu Schlafzimmer (rot),OG,
148,Obergeschoß,Büro,Dose Bei Eckfenster,,L3,O-DO09,S3,R116,,R3M1Sl0Pr14,,,,Dose,Bei Eckfenster,OG,
149,Obergeschoß,Büro,Dose Bei Eckfenster,,L3,O-DO09,S3,R117,,R3M1Sl0Pr13,,,,Dose,Bei Eckfenster,OG,
150,Obergeschoß,Büro,Dose Leinwand Strom,,,,S3,R118,,R3M1Sl0Pr12,,,,Dose,Leinwand Strom,OG,
151,Keller,Wellnessbereich,Licht Wand schwarz,,L3,K-LI03,S12,R44,D6,R0M6Sl0Pr14,,,LD,Licht,Wand schwarz,EG,
152,Erdgeschoss,Wohnzimmer,E-DO02 2 schreibtisch,,L2,E-DO15,S15,R45,,R0M6Sl0Pr15,,,DO,Dose,Wohnzimmer,EG,
153,Obergeschoß,Elternbad,Taster Badewanne,,,,,,,,R2M3Sl0Pr10,,,Taster,Badewanne,OG,
154,Erdgeschoss,Wohnzimmer,E-DO03 Süd rechts,,L2,E-DO15,S15,R46,,R0M8Sl0Pr0,,,DO,Dose,Wohnzimmer,EG,
155,Keller,Leer,Reserve,,,,S15,R47,,R0M8Sl0Pr1,,,,,,KG,
156,Erdgeschoss,Wohnzimmer,E-DO05 süd mitte links,,L2,E-DO15,S15,R48,,R0M8Sl0Pr2,,,DO,Dose,Wohnzimmer,EG,
157,Erdgeschoss,Wohnzimmer,E-DO06 süd links,,L2,E-DO15,S15,R49,,R0M8Sl0Pr3,,,DO,Dose,Wohnzimmer,EG,
158,Obergeschoß,Elternbad,Taster Badewanne2,,,,,,,,R2M3Sl0Pr11,,,Taster,Badewanne2,OG,
159,Obergeschoß,Elternbad,Taster WC,,,,,,,,R2M3Sl0Pr12,,,Taster,WC,OG,
160,Obergeschoß,Elternbad,Licht Dimmbar Ecke zu WC,,L3,O-LI05,S5,direkt 24V,,R3M7Sl0Pr9,,,,Licht Dimmbar,Ecke zu WC,OG,
